;;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
703;Davki na premoženje;18054943;8673317;4351145;13006526;7635346;1443350;11745173;3152359;0;0;0;1887;186004;708817;7476215;31229397;28324607;2167466;284689;297837;492042;375285
;;;;;;;;;;;;;;;;;;;;;;;
7030;Davki na nepremičnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;546377;12791701;1561665;0;3651;44929;47324;29986
703000;Davek od premoženja od stavb - od fizičnih oseb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703001;Davek od premoženja od prostorov za počitek in rekreacijo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703002;Zamudne obresti od davkov na nepremičnine;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703003;Nadomestilo za uporabo stavbnega zemljišča - od pravnih oseb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703004;Nadomestilo za uporabo stavbnega zemljišča - od fizičnih oseb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703005;Zamudne obresti iz naslova nadomestila za uporabo stavbnega zemljišča;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703006;Davek od premoženja od stavb - od pravnih oseb;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
703007;Davek od premoženja od kmetijskih zemljišč in gozdov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
